secCode,edinetCode,filerName,docID,docTypeCode,submitDateTime,periodStart,periodEnd,docDescription,DescriptionOfBusiness_file,DescriptionOfBusiness_length,BusinessRisks_file,BusinessRisks_length,BusinessPolicyEtc_file,BusinessPolicyEtc_length,EdinetInfo_file,EdinetInfo_length
15180,E00037,三井松島ホールディングス株式会社,S100QYB8,120,2023-06-19 11:22:00,2022-04-01,2023-03-31,有価証券報告書－第167期(2022/04/01－2023/03/31),/1/15180/2023/DescriptionOfBusiness,3152,/1/15180/2023/BusinessRisks,870,/1/15180/2023/BusinessPolicyEtc,4952,/1/15180/2023/EdinetInfo,1017
16050,E00043,株式会社ＩＮＰＥＸ,S100QH2B,120,2023-03-29 13:06:00,2022-01-01,2022-12-31,有価証券報告書－第17期(2022/01/01－2022/12/31),/1/16050/2023/DescriptionOfBusiness,10276,/1/16050/2023/BusinessRisks,19034,/1/16050/2023/BusinessPolicyEtc,6700,/1/16050/2023/EdinetInfo,974
16620,E00041,石油資源開発株式会社,S100R3GX,120,2023-06-27 16:15:00,2022-04-01,2023-03-31,有価証券報告書－第53期(2022/04/01－2023/03/31),/1/16620/2023/DescriptionOfBusiness,1947,/1/16620/2023/BusinessRisks,9046,/1/16620/2023/BusinessPolicyEtc,3524,/1/16620/2023/EdinetInfo,981
16630,E30048,Ｋ＆Ｏエナジーグループ株式会社,S100QHCE,120,2023-03-29 10:46:00,2022-01-01,2022-12-31,有価証券報告書－第9期(2022/01/01－2022/12/31),/1/16630/2023/DescriptionOfBusiness,843,/1/16630/2023/BusinessRisks,3237,/1/16630/2023/BusinessPolicyEtc,2837,/1/16630/2023/EdinetInfo,1009
17110,E05452,株式会社ＳＤＳホールディングス,S100RADQ,120,2023-06-30 09:44:00,2022-04-01,2023-03-31,有価証券報告書－第38期(2022/04/01－2023/03/31),/1/17110/2023/DescriptionOfBusiness,327,/1/17110/2023/BusinessRisks,5764,/1/17110/2023/BusinessPolicyEtc,1037,/1/17110/2023/EdinetInfo,1010
17120,E05444,株式会社ダイセキ環境ソリューション,S100QT6G,120,2023-05-25 09:36:00,2022-03-01,2023-02-28,有価証券報告書－第27期(2022/03/01－2023/02/28),/1/17120/2023/DescriptionOfBusiness,1798,/1/17120/2023/BusinessRisks,4042,/1/17120/2023/BusinessPolicyEtc,2459,/1/17120/2023/EdinetInfo,1022
17160,E00320,第一カッター興業株式会社,S100RXIU,120,2023-09-28 13:02:00,2022-07-01,2023-06-30,有価証券報告書－第56期(2022/07/01－2023/06/30),/1/17160/2023/DescriptionOfBusiness,2465,/1/17160/2023/BusinessRisks,3276,/1/17160/2023/BusinessPolicyEtc,4353,/1/17160/2023/EdinetInfo,992
17170,E05377,明豊ファシリティワークス株式会社,S100R32X,120,2023-06-23 15:38:00,2022-04-01,2023-03-31,有価証券報告書－第43期(2022/04/01－2023/03/31),/1/17170/2023/DescriptionOfBusiness,3753,/1/17170/2023/BusinessRisks,2973,/1/17170/2023/BusinessPolicyEtc,1778,/1/17170/2023/EdinetInfo,1017
17180,E00315,美樹工業株式会社,S100QFT3,120,2023-03-24 09:08:00,2022-01-01,2022-12-31,有価証券報告書－第61期(2022/01/01－2022/12/31),/1/17180/2023/DescriptionOfBusiness,1246,/1/17180/2023/BusinessRisks,1237,/1/17180/2023/BusinessPolicyEtc,1472,/1/17180/2023/EdinetInfo,967
17190,E00317,株式会社安藤・間,S100R8S4,120,2023-06-29 16:06:00,2022-04-01,2023-03-31,有価証券報告書－第10期(2022/04/01－2023/03/31),/1/17190/2023/DescriptionOfBusiness,365,/1/17190/2023/BusinessRisks,4137,/1/17190/2023/BusinessPolicyEtc,2024,/1/17190/2023/EdinetInfo,983
17200,E00316,東急建設株式会社,S100R6UJ,120,2023-06-28 16:34:00,2022-04-01,2023-03-31,有価証券報告書－第20期(2022/04/01－2023/03/31),/1/17200/2023/DescriptionOfBusiness,1206,/1/17200/2023/BusinessRisks,1993,/1/17200/2023/BusinessPolicyEtc,1915,/1/17200/2023/EdinetInfo,969
17210,E00322,コムシスホールディングス株式会社,S100R32B,120,2023-06-29 15:10:00,2022-04-01,2023-03-31,有価証券報告書－第20期(2022/04/01－2023/03/31),/1/17210/2023/DescriptionOfBusiness,339,/1/17210/2023/BusinessRisks,1452,/1/17210/2023/BusinessPolicyEtc,1815,/1/17210/2023/EdinetInfo,1017
17230,E00313,日本電技株式会社,S100R6II,120,2023-06-29 10:22:00,2022-04-01,2023-03-31,有価証券報告書－第64期(2022/04/01－2023/03/31),/1/17230/2023/DescriptionOfBusiness,858,/1/17230/2023/BusinessRisks,2954,/1/17230/2023/BusinessPolicyEtc,2968,/1/17230/2023/EdinetInfo,968
